ID,ZONAS VIBRA,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,dic-20,ene-21,feb-21,mar-21,abr-21
107,PASTALES PARTE BAJA,0,0,0,0,0,0,0,0,0,0,0,0,100,90150,180200,260400,340600
108,LA PLATICA,0,0,0,0,0,0,0,0,0,0,0,0,100,88150,176200,204400,232600
109,ASTILLEROS,0,0,0,0,0,0,0,0,0,0,0,0,100,89050,178000,186900,195800
110,CAY CASCADA,0,0,0,0,0,0,0,0,0,0,0,0,100,82150,164200,200300,236400
111,CAY CASCADA  ESCUELA,0,0,0,0,0,0,0,0,0,0,0,0,100,89500,178900,208450,238000
112,VEREDA CAY PARTE BAJA,0,0,0,0,0,0,0,0,0,0,0,0,100,90050,180000,250200,320400
113,TOTUMO - RODEO ZONA SALITRE,0,0,0,0,680,660,900,856,910,924,930,600,100,88150,176200,220250,264300
114,EL RODEO,0,0,0,0,0,0,0,0,0,0,0,0,100,84750,169400,211750,254100
115,VEREDA CHUCUNI,,0,0,0,0,0,0,0,0,0,0,0,0,100,65050,130000,216450
116,VEREDA CHUCUNI,50506,3170,803,796,796,848,897,899,920,927,967,734,100,89050,178000,295500,413000
117,VEREDA BERLIN CANON COMBEIMA,29042,5054,780,544,707,873,902,867,897,919,982,787,100,90050,180000,269100,358200
118,SAN JUAN DE LA CHINA PARQUE PRINCIPAL,0,0,0,0,0,0,0,0,0,0,0,0,100,86650,173200,216500,259800
119,VEREDA LA COQUETA,0,0,0,0,0,0,0,0,0,0,0,0,100,81650,163200,204000,244800
120,VEREDA EL CURAL - LA TIGRERA,0,0,0,0,0,0,0,0,0,0,0,0,100,86050,172000,215000,258000
121,VEREDA SAN FRANCISCO,0,0,0,0,0,0,0,0,0,0,0,0,100,82650,165200,206500,247800
122,VEREDA AURES DE SAN JUAN DE LA CHINA,0,0,0,0,0,0,0,0,0,0,0,0,100,89150,178200,245900,313600
123,BUENOS AIRES,0,0,0,0,0,0,0,0,0,0,0,0,100,87150,174200,217750,261300
124,VEREDA CALAMBEO,0,0,0,0,0,0,0,0,0,0,0,0,100,89500,178900,223650,268400
125,VEREDA ANCON TESORITO,0,0,0,0,0,0,0,0,0,0,0,0,100,83650,167200,209000,250800
126,RETIRO RESBALON,0,0,0,0,0,0,0,0,0,0,0,0,100,89050,178000,234950,291900
127,WIFI EN EL SECTOR DE SINAI,0,0,0,0,0,0,0,0,0,0,0,0,100,82950,165800,207250,248700
128,VEREDA COLEGIO SECTOR SINAI,0,0,0,0,0,0,0,0,0,0,0,0,100,85050,170000,212500,255000
129,CARRIZALES,0,0,0,0,0,0,0,0,0,0,0,0,100,76500,152900,267600,382300
130,SECTOR RURAL VDA FLOR,17678,5088,1302,2403,943,2091,1545,1605,1816,1681,1758,1218,100,87500,174900,185400,195900
131,LOS TUNELES BOQUERON,0,0,0,0,0,0,0,0,0,0,0,0,100,84500,168900,213650,258400
132,LA LOMA,0,0,0,0,0,0,0,0,0,0,0,0,100,85050,170000,220150,270300
133,LA MARIA PARTE BAJA KM 9- VILLA RESTREPO CANON DEL COMBEIMA,,,,,,,,,,,,,,,,,
134,RAMOS Y ASTILLEROS,0,0,0,0,0,0,0,0,0,0,0,0,100,92300,184500,230650,276800
135,SECTOR LA VEGA - VEREDA LA FLOR,0,0,0,0,0,0,0,0,0,0,0,0,100,86300,172500,226850,281200
136,SAN BERNARDO PARQUE PRINCIPAL,0,0,0,0,0,0,0,0,0,0,0,0,100,85050,170000,188700,207400
137,VEREDA LA MARIA EL SALADO Y DEMAS VEREDAS,0,0,0,0,0,0,0,0,0,0,0,0,100,82650,165200,206500,247800
138,ALTOS DE GUALANDAY,2526,1649,2274,956,550,713,752,732,745,752,1414,869,100,84500,168900,211150,253400
139,BRICENO,84594,3635,981,808,1264,1364,2767,1290,1316,1333,901,587,100,72700,145300,181650,218000
140,VEREDA APARCO I.E. FERNANDO VILLALOBOS ARANGO,0,0,0,0,0,0,0,0,0,0,0,0,100,71350,142600,178250,213900
141,VEREDA MARTINICA MEDIA ALTA,0,0,0,0,0,0,0,0,0,0,0,0,100,73150,146200,182750,219300
142,SAN JUAN DE LA CHINA LA ISABELLA,0,0,0,0,0,0,0,0,0,0,0,0,100,89050,178000,228750,279500
143,VEREDA LLANO DEL COMBEIMA,0,0,0,0,0,0,0,0,0,0,0,0,100,86050,172000,215000,258000
144,EL SALTO,0,0,0,0,0,0,0,0,0,0,0,0,100,78300,156500,195650,234800
145,VEREDA EL SECRETO,0,0,0,0,0,0,0,0,0,0,0,0,100,71550,143000,178750,214500
146,VEREDA PICO DE ORO,0,0,0,0,0,0,0,0,0,0,0,0,100,66050,132000,165000,198000
147,BARRIO URIBE,0,0,0,0,0,0,0,0,0,0,0,0,100,65050,130000,162500,195000
148,SAN VICENTE DE PAUL,0,0,0,0,0,0,0,0,0,0,0,0,100,66050,132000,174900,217800
149,EL RUBY SAN JUAN DE LA CHINA,0,0,0,0,0,0,0,0,0,0,0,0,100,77050,154000,186350,218700
150,CHINA ALTA,0,0,0,0,0,0,0,0,0,0,0,0,100,80050,160000,229400,298800
